LSTM,ARIMA
"['LSTM', 'ARIMA']",174.32459464471245
"[""['189.83']"", '174.32459464471245']",174.3557355887233
"[""['188.95']"", '174.3557355887233']",174.47795010443227
"[""['188.75']"", '174.47795010443227']",174.440512085171
"[""['191.66400000000002']"", '174.440512085171']",174.53829328336963
"[""['191.51']"", '174.53829328336963']",174.72183028221133
"[""['195.34']"", '174.72183028221133']",174.98799479033949
"[""['190.02']"", '174.98799479033949']",174.88432875921714
"[""['186.23']"", '174.88432875921714']",175.05901504692255
"[""['188.35']"", '175.05901504692255']",175.03660632185978
"[""['185.8']"", '175.03660632185978']",174.44268199046948
"[""['184.85']"", '174.44268199046948']",174.4274699191383
"[""['183.9']"", '174.4274699191383']",174.4647538030038
"[""['182.25']"", '174.4647538030038']",174.4958867231741
"[""['180.0']"", '174.4958867231741']",174.6180932150425
"[""['175.49']"", '174.6180932150425']",174.58064717194068
"[""['170.32']"", '174.58064717194068']",174.67842034629874
"[""['173.87']"", '174.67842034629874']",174.86194932129987
"[""['174.67']"", '174.86194932129987']",175.12810580558747
"[""['175.94']"", '175.12810580558747']",175.02443175062453
"[""['175.69']"", '175.02443175062453']",175.1991100144894
